id,exp_datetime,exp_date,exp_time,icf_reading_time_s,icf_wpm
1,2022/05/04 14:25:00,2022/05/04,14:25,180,317.67
2,2022/04/08 13:30:00,2022/04/08,13:30,210,272.29
3,2022/04/06 9:30:00,2022/04/06,9:30,108,529.44
4,2022/04/06 11:00:00,2022/04/06,11:00,112,510.54
5,2022/04/06 14:00:00,2022/04/06,14:00,100,571.80
6,2022/04/07 10:00:00,2022/04/07,10:00,49,1166.94
7,2022/04/08 10:20:00,2022/04/08,10:20,57,1003.16
8,2022/04/08 15:00:00,2022/04/08,15:00,141,405.53
9,2022/04/11 10:00:00,2022/04/11,10:00,89,642.47
10,2022/04/11 13:20:00,2022/04/11,13:20,95,601.89
11,2022/04/12 9:30:00,2022/04/12,9:30,129,443.26
12,2022/04/12 12:00:00,2022/04/12,12:00,150,381.20
13,2022/04/13 9:40:00,2022/04/13,9:40,99,577.58
14,2022/04/13 14:30:00,2022/04/13,14:30,117,488.72
15,2022/04/14 8:30:00,2022/04/14,8:30,141,405.53
16,2022/04/14 10:00:00,2022/04/14,10:00,81,705.93
17,2022/04/14 11:30:00,2022/04/14,11:30,121,472.56
18,2022/04/14 13:00:00,2022/04/14,13:00,103,555.15
19,2022/04/15 9:50:00,2022/04/15,9:50,134,426.72
20,2022/04/15 11:00:00,2022/04/15,11:00,133,429.92
21,2022/04/15 13:30:00,2022/04/15,13:30,60,953.00
22,2022/04/15 15:00:00,2022/04/15,15:00,98,583.47
23,2022/04/18 11:15:00,2022/04/18,11:15,96,595.63
24,2022/04/18 13:20:00,2022/04/18,13:20,110,519.82
25,2022/04/18 15:00:00,2022/04/18,15:00,130,439.85
26,2022/04/20 11:50:00,2022/04/20,11:50,69,828.70
27,2022/04/21 9:25:00,2022/04/21,9:25,179,319.44
28,2022/04/25 9:00:00,2022/04/25,9:00,95,601.89
29,2022/04/26 13:00:00,2022/04/26,13:00,92,621.52
30,2022/04/27 17:30:00,2022/04/27,17:30,204,280.29
31,2022/04/29 11:00:00,2022/04/29,11:00,123,464.88
32,2022/05/25 12:15:00,2022/05/25,12:15,110,519.82
33,2022/05/26 13:00:00,2022/05/26,13:00,112,510.54
34,2022/06/08 10:30:00,2022/06/08,10:30,110,519.82
35,2022/06/09 10:50:00,2022/06/09,10:50,75,762.40
36,2022/07/19 10:00:00,2022/07/19,10:00,191,299.37
37,2022/07/19 15:00:00,2022/07/19,15:00,155,368.90
38,2022/07/20 11:30:00,2022/07/20,11:30,158,361.90
39,2022/08/05 11:00:00,2022/08/05,11:00,123,464.88
40,2022/07/21 14:00:00,2022/07/21,14:00,174,328.62
41,2022/07/25 14:00:00,2022/07/25,14:00,109,524.59
42,2022/07/26 16:00:00,2022/07/26,16:00,91,628.35
43,2022/07/27 10:00:00,2022/07/27,10:00,80,714.75
44,2022/07/27 11:30:00,2022/07/27,11:30,101,566.14
45,2022/07/27 14:00:00,2022/07/27,14:00,87,657.24
46,2022/07/27 15:30:00,2022/07/27,15:30,109,524.59
47,2022/07/28 12:30:00,2022/07/28,12:30,161,355.16
48,2022/07/29 10:00:00,2022/07/29,10:00,173,330.52
49,2022/07/29 11:45:00,2022/07/29,11:45,157,364.20
50,2022/07/29 14:30:00,2022/07/29,14:30,199,287.34
51,2022/07/31 12:00:00,2022/07/31,12:00,118,484.58
52,2022/08/01 10:00:00,2022/08/01,10:00,117,488.72
53,2022/08/01 12:00:00,2022/08/01,12:00,143,399.86
54,2022/08/01 14:30:00,2022/08/01,14:30,98,583.47
55,2022/08/01 10:00:00,2022/08/01,10:00,131,436.49
56,2022/08/01 12:00:00,2022/08/01,12:00,164,348.66
57,2022/08/03 14:00:00,2022/08/03,14:00,114,501.58
58,2022/08/04 10:00:00,2022/08/04,10:00,73,783.29
59,2022/08/04 14:00:00,2022/08/04,14:00,114,501.58
60,2022/08/06 10:00:00,2022/08/06,10:00,119,480.50
