id,subject_id,device_id,prior_use,instruction_difficulty,instruction_comments,assembly_difficulty,assembly_comments,collection_difficulty,collection_comments,leakage
1,1,1,1-3 times,Difficult,Most instruction was directed to sample collectors not users.,Very easy,,Easy,,FALSE
2,1,2,1-3 times,Fair,Lacking instruction to not blow into the tube which causes leaking,Very easy,,Difficult,The production of saliva took a while and it leaked multiple times.,TRUE
3,1,3,1-3 times,Fair,The visual instructions very weird and kind of unhelpful.,Very easy,,Difficult,Again annoying and uncomfortable more than difficult,FALSE
4,1,4,1-3 times,Easy,,Fair,,Fair,It was not difficult just annoying and uncomfortable.,FALSE
5,1,5,More than 3 times,Very easy,,Easy,,Fair,,FALSE
6,2,1,1-3 times,Fair,"Instructions do not state to insert funnel into tube for collection. 
Unnecessary additional instructions for user.",Very easy,,Easy,"No stimulant to produce saliva made it hard to generate saliva.
Wide funnel was nice as it did not block the flow of foamy saliva.",FALSE
7,2,2,1-3 times,Easy,Device doesn't say anything about blowing air into the tube. I did that accidentally.  That resulted in very foamy saliva.,Easy,,Fair,Saliva became foamy and leaked out of the sides.,TRUE
8,2,3,1-3 times,Fair,"Unclear if swab should be swished around mouth.
Also I have no idea what panel 1 is illustrating.",Easy,,Difficult,"I swished the cotton pad around in my mouth and that produced a ton of saliva, way more than could be absorbed by the cotton pad. When I went to spit the cotton swab into the tube, saliva leaked everywhere.",TRUE
9,2,4,1-3 times,Fair,"Unnecessary and confusing information in panel 7.
Use of word ""expression"" in panel 10 was confusing. What does it mean?",Easy,,Fair,"Cotton swab in mouth was uncomfortable.
Hard to see red circle without slightly removing the device from mouth.
Hard to push down on plunger (plunger wings too small).",TRUE
10,2,5,More than 3 times,Easy,,Easy,,Easy,Small hole meant viscous saliva had a little bit of difficulty getting through but did not inhibit easy saliva collection.,FALSE
11,3,1,Never,Difficult,Took a while to collect 1mL.,Very easy,I appreciate the large tube + funnel.,Very difficult,Hard for dry-mouthed people (but not terrible),TRUE
12,3,2,Never,Very easy,Easy + straight forward.,Very easy,Clear instructions made it easier.,Very easy,Easier + cleaner than the funnel method in my opinion.,TRUE
13,3,3,Never,Difficult,Hard to not chew on it + be patient for 2 min.,Easy,I like the stacking tube. So sanitary.,Very easy,"Didn't even have to try, which was nice for my perpetually dry mouth.",TRUE
14,3,4,Never,Difficult,"Confusing at first, then very clear.",Very easy,Very satisfying.,Difficult,Took a while for spot to turn red.,TRUE
15,3,5,More than 3 times,Fair,Needed to refer to instructions multiple times.,Fair,Smaller tube + funnel was slightly more challenging.,Easy,"I'm used to this strategy, so maybe I'm biased?",TRUE
16,4,1,Never,Very easy,,Very easy,,Very easy,,FALSE
17,4,2,Never,Fair,It doesn't say to remove the cap and the associated picture doesn't make it very clear.,Very easy,,Very easy,"It was easy to tilt the tube to so I can see how much saliva was in it without removing it from my mouth and halting collection.
I got a bit of saliva on my hand when removing the SCA.",TRUE
18,4,3,Never,Fair,"The pictures were a bit confusing, esp. the indication for what to do 10 minutes before the collection.
The written text wasn't very helpful.",Easy,I was expecting threaded connections between the cap and the vial.,Very easy,There isn't any feedback for whether enough saliva was collected.,FALSE
19,4,4,Never,Easy,It was a little confusing how the 3 written instructions referred to the 7 picture instructions.,Very easy,Very straightforward.,Fair,It was inconvenient to have to remove the device from my mouth to check the red dot and some saliva leaked when pressing the plunger.,TRUE
20,4,5,Never,Very easy,These were the best instructions from the set. Step 4 (think about foods) was a nice touch.,Very easy,The funnel fit in the tube very well.,Very easy,A small amount of saliva got stuck in the funnel but it didn't prevent collection of more saliva.,FALSE
21,5,1,Never,Very easy,,Very easy,,Fair,It was a lot of saliva.,FALSE
22,5,2,Never,Fair,I got confused with step 2.,Fair,Lid stuck.,Easy,It took a while to collect enough.,FALSE
23,5,3,1-3 times,Fair,Letters too small.,Very easy,,Fair,Timing exactly 2 minutes can be annoying.,FALSE
24,5,4,Never,Difficult,Some details are easy to miss.,Easy,,Difficult,"Even though I pushed hard enough, there was little to no saliva collected.",FALSE
25,5,5,1-3 times,Very easy,,Very easy,,Very easy,,FALSE
26,6,1,Never,Very easy,No special step for me to keep in mind.,Very easy,Very simple.,Very easy,"Very easy, but some of my saliva was remained at the entrance of funnel (device) that makes me uncomfortable.",TRUE
27,6,2,Never,Easy,All steps' description is understandable.,Easy,"Since the step 2 does not let me remove the cap, I tried to assemble the SCA to the tube when it was closed. But when I understood correctly, everything was easy.",Very easy,Easier than SuperSal. Very fast active collection.,TRUE
28,6,3,Never,Easy,I wondered that I should put the entire swab inside my mouth.,Easy,I needed to keep in mind that everything was perfectly sealed.,Very easy,It was very easy.,TRUE
29,6,4,Never,Easy,All images are intuitive without step 3. I was a little bit confused at that step because I misunderstood that I should assemble the collector and compression tube and aspirate my saliva inside mouth.,Very easy,Very easy.,Fair,"It was hard to see the SVAI while collecting the saliva, so I needed to check several times to see the red.",FALSE
30,6,5,Never,Very easy,Very intuitive and no special step for me to keep in mind.,Very easy,Very easy.,Difficult,"Due to the bubbles, air was stuck inside the tube so that saliva could not go down easily. To make it possible, I tapped a lot during the collection.",TRUE
31,7,1,More than 3 times,Very easy,,Very easy,,Very easy,,FALSE
32,7,2,Never,Very easy,,Very easy,,Difficult,Very slow but no less messy. Saliva doesn't go in unless you remove suction which is unintuitive.,TRUE
33,7,3,Never,Very easy,,Easy,Packaging a bit unintuitive.,Fair,Took 2 whole minutes.,FALSE
34,7,4,Never,Fair,A bit confusing.,Fair,,Very difficult,"Took forever, messy, uncomfortable.",TRUE
35,7,5,More than 3 times,Very easy,,Very easy,,Fair,"Very messy, took some time.",TRUE
36,8,1,Never,Fair,Similar to the SwabSeq.,Fair,Similar to SwabSeq.,Fair,Also need to check saliva volume periodically.,FALSE
37,8,2,Never,Fair,It's pretty much the same as SwabSeq.,Fair,Similar to SwabSeq too.,Difficult,It's hard to guide the saliva into the vial. Also I have to check the volume.,TRUE
38,8,3,Never,Fair,I am not sure whether I should place the whole swab into the mouth.,Fair,Not very difficult.,Easy,Quite easy because I only need to leave it in my mouth.,TRUE
39,8,4,Never,Fair,Similar to the Salivette.,Fair,,Fair,Need to read the SVAI periodically.,TRUE
40,8,5,1-3 times,Fair,Steps are clear.,Fair,It's straightforward to place the funnel into the top of the tube.,Fair,I have to wait and check the level of my saliva in the tube.,FALSE
41,9,1,Never,Very easy,,Very easy,,Very easy,,FALSE
42,9,2,Never,Easy,"It's a little bit more complicated, but not too bad.",Very easy,,Fair,"The SCA got clogged during the collection. Also, it takes quite a bit of time for the saliva to drop down to the vial. I also saw saliva leaking from the connection part between the SCA and the vial.",TRUE
43,9,3,Never,Easy,Not so complicated.,Very easy,,Very easy,Again no spitting is good.,FALSE
44,9,4,Never,Fair,It's a bit complicated. I did not fully understand after reading the instruction. Maybe it's better with the video instruction.,Very easy,,Very easy,It's good that I did not have to spit.,FALSE
